season,game_id,date,time,home_team,away_team,stadium,status,broadcast,doubleheader_no,note
2025,2025-0001,2025-03-22,14:00,LG,롯데,잠실야구장,SCHEDULED,,,
2025,2025-0002,2025-03-22,14:00,SSG,두산,인천SSG랜더스필드,SCHEDULED,,,
2025,2025-0003,2025-03-22,14:00,KT,한화,수원KT위즈파크,SCHEDULED,,,
2025,2025-0004,2025-03-22,14:00,삼성,키움,대구삼성라이온즈파크,SCHEDULED,,,
2025,2025-0005,2025-03-22,14:00,기아,NC,광주기아챔피언스필드,SCHEDULED,,,
2025,2025-0006,2025-03-23,14:00,LG,롯데,잠실야구장,SCHEDULED,,,
2025,2025-0007,2025-03-23,14:00,SSG,두산,인천SSG랜더스필드,SCHEDULED,,,
2025,2025-0008,2025-03-23,14:00,KT,한화,수원KT위즈파크,SCHEDULED,,,
2025,2025-0009,2025-03-23,14:00,삼성,키움,대구삼성라이온즈파크,SCHEDULED,,,
2025,2025-0010,2025-03-23,14:00,기아,NC,광주기아챔피언스필드,SCHEDULED,,,
2025,2025-0011,2025-03-25,18:30,LG,한화,잠실야구장,SCHEDULED,,,
2025,2025-0012,2025-03-25,18:30,SSG,롯데,인천SSG랜더스필드,SCHEDULED,,,
2025,2025-0013,2025-03-25,18:30,KT,두산,수원KT위즈파크,SCHEDULED,,,
2025,2025-0014,2025-03-25,18:30,삼성,NC,대구삼성라이온즈파크,SCHEDULED,,,
2025,2025-0015,2025-03-25,18:30,기아,키움,광주기아챔피언스필드,SCHEDULED,,,
2025,2025-0016,2025-03-26,18:30,LG,한화,잠실야구장,SCHEDULED,,,
2025,2025-0017,2025-03-26,18:30,SSG,롯데,인천SSG랜더스필드,SCHEDULED,,,
2025,2025-0018,2025-03-26,18:30,KT,두산,수원KT위즈파크,SCHEDULED,,,
2025,2025-0019,2025-03-26,18:30,삼성,NC,대구삼성라이온즈파크,SCHEDULED,,,
2025,2025-0020,2025-03-26,18:30,기아,키움,광주기아챔피언스필드,SCHEDULED,,,
2025,2025-0021,2025-03-27,18:30,LG,한화,잠실야구장,SCHEDULED,,,
2025,2025-0022,2025-03-27,18:30,SSG,롯데,인천SSG랜더스필드,SCHEDULED,,,
2025,2025-0023,2025-03-27,18:30,KT,두산,수원KT위즈파크,SCHEDULED,,,
2025,2025-0024,2025-03-27,18:30,삼성,NC,대구삼성라이온즈파크,SCHEDULED,,,
2025,2025-0025,2025-03-27,18:30,기아,키움,광주기아챔피언스필드,SCHEDULED,,,
2025,2025-0026,2025-03-28,18:30,두산,삼성,잠실야구장,SCHEDULED,,,
2025,2025-0027,2025-03-28,18:30,키움,SSG,고척스카이돔,SCHEDULED,,,
2025,2025-0028,2025-03-28,18:30,한화,기아,대전한화생명볼파크,SCHEDULED,,,
2025,2025-0029,2025-03-28,18:30,롯데,KT,사직야구장,SCHEDULED,,,
2025,2025-0030,2025-03-28,18:30,NC,LG,창원NC파크,SCHEDULED,,,
2025,2025-0031,2025-03-29,14:00,두산,삼성,잠실야구장,SCHEDULED,,,
2025,2025-0032,2025-03-29,14:00,키움,SSG,고척스카이돔,SCHEDULED,,,
2025,2025-0033,2025-03-29,14:00,한화,기아,대전한화생명볼파크,SCHEDULED,,,
2025,2025-0034,2025-03-29,14:00,롯데,KT,사직야구장,SCHEDULED,,,
2025,2025-0035,2025-03-29,14:00,NC,LG,창원NC파크,SCHEDULED,,,
